scaffold,frequency
CC1C[CH]C(C)C2C[CH][CH][C]2C(C)C[CH][CH]CC(CC(C)C2CCC(C3CCC(C4CCCCC4)C3)CC2)C(C)C[CH]C(C)C2C[CH]C[C]2C(C)C[C]1C[CH]C1CCCCC1,1
CC1C[CH]C(C)C2C[CH][CH][C]2C(C)C[CH][CH]C[C](CC(C)C2CCC(C3CCC(C4CCCCC4)C3)CC2)C(C)C[CH]C(C)C2C[CH]C[C]2C(C)C[C]1[CH][CH]C1CCCCC1,1
CC1C[CH][CH][CH][CH]CCCCCCCCCCCCCC[C](CC2CCCCC2)C[C]2[CH][CH]CC(C[CH]C[CH][CH]CC[CH]C[CH]C1)C2,1
CC1[CH]CC(C)C(C)CC(C)C(CC(C)C2CCC(C3CCCCC3)CC2)CCCC(C)CCC(C)CCC(C)[CH]CC[CH]C1,1
CC1[CH]CC(C)C(C)CC(C)C(CC(C)C2CCCC(C3CCCCC3)C2)CCCC(C)CCC(C)CCC(C)[CH]CC[CH]C1,1
CC1[CH]CC(C)C(C)CC(C)C(CC(C)C2CCCCC2)CCCC(C)CCC(C)CCC(C)[CH]CC[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CC(C3CCCCC3)CC2C2CCCCC2)CCCC(C)CCC(C)CCC(C)[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CC3(CCCCC3)C3CCCCC23)CCCC(C)CCC(C)CCC(C)[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CC3CCCCC3C2)CCCC(C)CCC(C)CCC(C)[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CC3[CH]CCC4C(C5CCCCC5)CCC(C2C)C34)CCCC(C)CCC(C)CCC(C)[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CC3[CH]CCC4CCCC(C2C)C34)CCCC(C)CCC(C)CCC(C)[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CCC(C3CCCC3)CC2)CCCC(C)CCC(C)CCC(C)[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CCC(CC(C)(C)CC3CCCCC3)CC2)CCCC(C)CCC(C)CCC(C)[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CCC(CC3CCCCC3)CC2)CCCC(C)CCC(C)CCC(C)[CH]C1,1
CC1[CH]CC(C)[CH]CC(C)C(C)CC(C)C(CC(C)C2CCC(CCC(C)CCC3CCCCC3)CC2)CCCC(C)CCC(C)CCC(C)[CH]C1,1
