,scaffold,frequency
363,O=C1CCOC2OC3CCCCC3OC12,1
364,C=C1CC2[C](CC[C]3[C]4CCCC4CC[C]32)CC1=O,1
365,O=C1C=CC(=O)C2=C1[CH]C1[C]3N[C]3CN21,1
366,O=C1C=CC(=O)C2=C1CC1C3NC3CN21,1
367,O=C(Cc1ccccc1)N[C]1[C]2SC[CH]N2C1=O,2
368,C=C1CN2CCC34c5ccccc5N5C(=O)CC=C(C1CC23)C54,1
369,C=C1CCCC(=O)OCC2=CCN3CCC(OC1=O)C23,1
370,O=S(=O)(Cc1ccc2[nH]ccc2c1)N1CCCC1,1
371,O=C1C=C2CC[C]3[C]4CCCC4C[CH]C3C2CC1,2
372,O=C1O[CH]CN1c1ccc(N2CCOCC2)cc1,1
373,O=C1C(=CNc2ccccn2)NS(=O)(=O)c2ccsc21,1
374,C1=C2CC[C]3[C]4CCCC4CC[C]3C2Cc2cnoc21,1
375,C1=C2CCC3C4CCCC4CCC3C2Cc2cnoc21,1
376,O=c1n(-c2ccccc2)nc2n1CCCC2,1
377,O=C1NC(c2ccccc2)c2ccccc21,1
378,C1OC2COC3OCOC3C2O1,1
379,c1ccc(Cc2nccc3ccccc23)cc1,1
380,O=c1cc(N2C[CH]CCC2)n(Cc2ccccc2)c(=O)[nH]1,1
381,C=C1CCC2[C]3Cc4cccc5c4C2(CCN3CC2CC2)[C]1O5,1
382,c1ccc(CCc2ccccc2)cc1,2
383,[CH]1C[C]2CCCC[C]2N1,2
384,O=C(OC1CCC[NH2+]C1)C(c1ccccc1)c1ccccc1,1
385,O=C1CCC2[C]3Cc4cccc5c4C2(CCN3CC2CC2)[C]1O5,1
386,C1CCC(OC2CCOC2)OC1,1
387,[CH]1[CH][CH][C](OC2[CH][CH][CH]O2)O[CH]1,1
388,C1CCC(OC2CCCO2)OC1,2
389,O=C1C=C2C=C[C]3[C]4CCCC4CC[C]3C2CC1,2
390,O=C1C=C2C=CC3C4CCCC4CCC3C2CC1,1
391,c1ccc(C(OCC[C]2CCCN2)c2ccccc2)cc1,1
392,c1ccc(C(OCCC2CCCN2)c2ccccc2)cc1,1
393,O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,3
394,C1=CC(c2ccccc2)C=CN1,5
395,c1ccc2c(c1)NC1NCCC23C2NCCC13c1ccccc1N2,1
396,c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,1
397,O=C([CH]c1ccccc1)N[C]1[C]2SCC=CN2C1=O,3
398,O=C(Cc1ccccc1)NC1C(=O)N2C=CCSC12,4
399,O=C1Cc2cc3n(c(=O)c2CO1)Cc1cc2ccccc2nc1-3,2
400,O=C(Cc1ccccc1)NC1C(=O)N2CCSC12,2
401,c1ccc(Nc2ccncc2)cc1,1
402,O=C1NC(=O)C2CC=CCC12,1
403,c1ccc(C(Cc2ccncn2)Cn2cncn2)cc1,1
404,O=c1c(-c2ccccc2)cc(-c2ccccn2)cn1-c1ccccc1,1
405,O=C([CH]c1ccccc1)N[C]1[C]2SC[CH]N2C1=O,2
406,[CH]1CCN([C]2CCCC[C]2OCCc2ccccc2)C1,1
407,[CH]1CCC2[C]3CCC4[C](CC=C4c4cccnc4)[C]3CC=C2C1,1
408,O=C(COc1ccccc1)N[C]1[C]2SC[CH]N2C1=O,1
409,O=C(Nc1nccs1)C1NS(=O)(=O)c2ccccc2C1=O,1
410,C=C1CCC2CCCCC2C1CC=C1CCOC1=O,1
411,O=C(Nc1nccs1)C1=Cc2ccccc2S(=O)(=O)N1,1
412,C(#Cc1ccccn1)c1ccc2c(c1)CCCS2,1
413,O=C1[CH][CH][CH]C1,4
414,C=C1C[C]2[CH][CH]C[C]2O1,1
415,C=C1CC2CCCC2O1,1
416,O=C1CCCC1,3
417,O=C1C=CC2([CH]C1)Oc1ccccc1C2=O,1
418,O=C1C=CC2(CC1)Oc1ccccc1C2=O,1
419,O=C1CCc2ccc(Oc3ccccc3)cc21,1
420,c1ccc2c3c([nH]c2c1)C1CC2CCCCC2CN1CC3,1
421,[CH]1[CH][CH]C[CH]1,2
422,C1CCCC1,1
423,O=C1CCC2[C]3Cc4cccc5c4C2(CC[NH+]3CC2CC2)[C]1O5,1
424,O=C1CCC2C3Cc4cccc5c4C2(CC[NH+]3CC2CC2)C1O5,1
425,O=C1NC(=O)C(Cc2ccc(OCCc3ccccn3)cc2)S1,1
426,c1ccc(N=Nc2ccccc2)cc1,1
427,c1ccc(CCCNCc2cccc3ccccc23)cc1,1
428,O=C1NC(=O)C(Cc2ccc(OCCNc3ccccn3)cc2)S1,1
429,[CH]1CCC2[C]3Cc4cccc5c4C2(CCN3CC2CCC2)[C]1O5,1
430,c1cc2c3c(c1)OC1CCCC4C(C2)N(CC2CCC2)CCC314,1
431,c1ccc(CC2CCCCC2)cc1,1
432,O=C(c1ccccc1)n1ccc2ccccc21,1
433,c1ccc2[nH]cnc2c1,1
434,O=C(c1ccccc1)N1CCn2c(nnc2-c2ncns2)C1,1
435,O=C1C=CC2[C]3[C](CCC2=C1)[C]1CCCC1CC3=O,1
436,O=C1C=CC2C(=C1)CCC1C3CCCC3CC(=O)C21,1
437,O=S(=O)(Nc1ccccc1)c1nc2ccncn2n1,3
438,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,1
439,c1ccc(CC2COC(c3ccccc3)C2)cc1,1
440,O=C1OCC2=C1CCC1C2CC2OC23CC2OC2C2OC123,1
441,O=C1C=CC2[C]3[CH]CC4CCC[C]4[C]3CCC2=C1,1
442,O=C1C=C2CC[C]3[C]4CCCC4CC(=O)[C]3C2CC1,2
443,O=C1C=C2CCC3C4CCCC4CC(=O)C3C2CC1,1
444,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,1
445,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OC[CH]2,1
446,c1ccc(C(c2ccccc2)c2ccccn2)cc1,1
447,c1ccc(Oc2nc3ccccc3o2)cc1,1
448,O=C1CC[C](C(=O)N[C](Cc2c[nH]cn2)C(=O)N2[CH]CCC2)N1,1
449,O=C1CCC(C(=O)NC(Cc2cnc[nH]2)C(=O)N2CCCC2)N1,1
450,O=C1C=C2CC[C]3[C]4CCCC4C[CH][C]3C2CC1,1
451,O=C(COc1nncs1)Nc1ccccc1,1
452,c1ccc2c(c1)Sc1ccccc1N2CCCN1CCCCC1,1
453,O=C1c2ccccc2NCN1c1ccccc1,1
